Content Code,DVC Partner,Photo / Video,Source Link,Preservation Link,Reported Location Details (free text),City,Content Description,Military visible?,Graphic,Publication Date,Publication Time,Verification Status,Category 1,Category 2,Perpetrators,Event Date,Event Time,Location,Latitude,Longitude,Related Content,,Brian,,,,,,
MMR015,CAM,Video,https://www.facebook.com/thihasaw88/videos/1592379294484533,,"""Near Monywa Aung Mingalar quarter of police""",Monywa,"Beating protesters, military and plainclothes individuals",TRUE,FALSE,27-Feb-21,13:13,Verified,Beating,,"Military, Plainclothes, police",27-Feb-21,,,22.105623,95.137198,https://www.facebook.com/thihasaw88/videos/1592408214481641,"The military logo is difficult to identify given the distance, but it has white and red and may match three of the logos)",,,,,,,
MMR016,CAM,Video,https://www.facebook.com/khitthitnews/videos/887348975435028,,"Mizzima TV News video caption: ""in front of a Shwe Thiri store in Pakokku."" and Tweet: ""Pakokku, Htin ayan Road, Magway Region"" ",Pakokku,"Mizzima TV: ""On the morning of 28 February, a man was shot and killed with a gunshot wound to the head in front of a car in front of a Shwe Thiri store in Pakokku. The victim, a child, was hiding under a car when police shot him in the head. Police then took a photo of the victim in a quadruped, covered the blood on the ground with sand, and removed the body on a stretcher.""",TRUE,TRUE,28-Feb-21,,Cannot Be Verified,Deaths,,Police,28-Feb-21,Morning ,A shop location was mentioned from the Mizzima TV caption - potential shop location with photo here on Google Maps: https://tinyurl.com/283c6c79 ; what looks like a Hanasplast sign in the video (could be a pharmacy? YouTube video: 1.59),,,, Youtube Video with location and description of incident: https://www.youtube.com/watch?v=15DVbKaqKq8  / also two Tweets with photos from different angles: https://twitter.com/mgmaung75/status/1366213020737626114 (side note - this account is almost entirely videos and photos of recent police killings of civilians in Myanmar) https://twitter.com/kyawtshin8/status/1365932878358401024 ,Military logo hard to tell - but some officers inspecting body look like they are wearing the LID44 Subordinate Batallion; possibly Northwest command insignia too (0.27 seconds); possibly from YouTube video too Central Command star (1.59),,,,,,
MMR017,CAM,Video,https://twitter.com/MyanmarSR21/status/1365555924392308736,,,Mandalay,Police beating a protestor on the ground,FALSE,TRUE,27-Feb-21,13:24,Verified,Beating,,"Police, Military",27-Feb-21,,Intersection 66th street and 35th street,21.96778,96.106827,,,,,,,,,
MMR018,CAM,Video,https://twitter.com/MyanmarSR21/status/1365994523571015694,,,Mandalay,Police beating a protestor on the ground,FALSE,TRUE,28-Feb-21,18:27,Verified,Beating,,Police,28-Feb-21,,Intersection 37th street and 79th street,21.96616,96.084352,,,,,,,,,
MMR019,,Video,https://www.facebook.com/216265185075061/videos/753641088863439,,,,Protest frontline (live stream),TRUE,FALSE,28-Feb-21,13:49 (Myanmar time),,General protest,,,28-Feb-21,13:49 (local time),,,,,,,,,,,,
MMR020,,Video,https://www.youtube.com/watch?v=I0oQnn28c24,,,Mawlamyine,Protest dispersed - gas and possibly live ammunition apparent from footage,TRUE,FALSE,28-Feb-21,19:44,Verified,Live Ammunition,,Miltary and Police,28-Feb-21,,,16.490361,97.618987,,"This footage seems to capture two narratives: the first, the military in the Northern part of the city, the second, teargas (by the police, it seems) in a different part of the city. That second aspect of the footage seems to all be happening on or around one road (in walking distance of each other), whereas the first part of the footage is further away. As such, we have divided our geolocating into different point in the clip, to help give an idea of where this is. First part: 0:20-0:37 is at 16.490361, 97.618987. 0:59-1:09 is at 16.488864, 97.618744.    Second part: 1.12: 16.444363N 97.639613E.    1.37:  16.451490N 97.636081E",,,1.12: 16.444363N 97.639613E,,,,
MMR020_1,,Video,https://www.youtube.com/watch?v=I0oQnn28c24,,,Mawlamyine,,FALSE,FALSE,,,Verified,Less-lethals,Live Ammunition,Miltary and Police,28-Feb-21,,,16.45149,97.636081,,See above,,,,,,,
MMR021,,Video,https://www.youtube.com/watch?v=V5dAyGQQIf4,,,Yangon,Police use gas against crowd of protesters,FALSE,FALSE,28-Feb-21,16:16,Verified,Less-lethals,,Police,28-Feb-21,,,16.803349,96.134361,,Verified 0:46-1:17 with tear gas usage,,,,,,,
MMR022,,Photo,https://twitter.com/cape_diamond/status/1365880665074401281,,,Yangon,Tweet from journalist stating that Yangon General Hospital is ready to conduct surgical operations for protesters ,FALSE,FALSE,,,Cannot Be Verified,Injuries,,,,,,,,,,,,,,,,
MMR023,CAM,Video,https://twitter.com/cape_diamond/status/1365868317114728450,,"Hledan, Yangon",Yangon,Man with apparent gunshot wound in Yangon,FALSE,TRUE,,,Cannot Be Verified,Injuries,,,,,,,,,,,,,,,,
MMR024,CAM ,Video,https://www.facebook.com/2074139396236179/videos/176684920681242,,"Rangoon, Yangon",Yangon,Protest in front of cabinet office,FALSE,FALSE,28-Feb-21,16.4,Verified,Less-lethals,,Police,28-Feb-21,16:12,The junction of Anawrahta Road and Bo Aung Kyaw Street ,16.776697,96.164486,,View of crowd in front of the secretariat - video description is accurate and can be geolocated,,,,,,,
MMR025,CAM,Video,https://www.facebook.com/2074139396236179/videos/856575418523444,,,Pakokku,Alleged shooting,FALSE,TRUE,28-Feb-21,17:45,Cannot Be Verified,Deaths,,,,,,,,MMR016,Video of people carrying what is probably a dead body. Photos of dead bodies have been inserted into the video but one can't be sure they are related to the video sequence.,,,,,,,
MMR026,CAM,Video,https://www.facebook.com/2074139396236179/videos/2611001879194359,,"Hledan, Yangon",Yangon,Police fire at people filming them from upper floor of building,FALSE,TRUE,28-Feb-21,13:05,Verified,Injuries,,Police,28-Feb-21,,Hledan Road ,16.82644903,96.12775959,,,"tear gas, semi-auto, and full-auto fire",,,,,,
MMR027,,Video,https://www.facebook.com/2074139396236179/videos/1592327347633175,,,Yangon,"Dispersal of protests in Pansodan, Yangon",FALSE,FALSE,28-Feb-21,12:39,Verified,Less-lethals,,Police,28-Feb-21,,Intersection of Anawrahta Road and Pansodan Street,16.776777,96.161747,,,,,,,,,
MMR028,,Video,https://www.facebook.com/mizzimatvchannel/videos/180512443579126,,,Yangon,Tear gas used to disperse crowd,FALSE,FALSE,28-Feb-21,11:48,Verified,Less-lethals,,Police,28-Feb-21,around 09:00-10:00,"Shwe Moe Kaung condo, Aung Zeya Road, Kyaung Kone Ward",16.832653,96.168167,,Geolocation estimated using info from https://www.facebook.com/100011024686028/videos/1309191482791662 and matching buildings with the Google Earth image,,,,,,,
MMR029,,Video,https://www.facebook.com/mizzimatvchannel/videos/427802588308207,,"Hledan, Yangon",Yangon,Protests and later footage of those injured,FALSE,TRUE,28-Feb-21,09:19-09:44 (live video),Verified,General protest,,Police,28-Feb-21,09:19-09:44,Hledan Road,16.826097,96.127223,MMR023,,,,,,,,
MMR030,,Video,https://www.facebook.com/mizzimatvchannel/videos/107783011266528,,,Mandalay,Live stream of protests in Mandalay,FALSE,FALSE,28-Feb-21,9:06 to 10:25 (live video),Verified,General protest,,Police,28-Feb-21,09:06,Mandalay Teaching Hospital,21.94756153,96.11121882,,,,,,,,,
MMR031,,Video,https://twitter.com/thae2003/status/1365876377715638272,,"Hledan, Yangon",Yangon,Protesters flee tear gas,FALSE,FALSE,28-Feb-21,10:37,Verified,Less-lethals,,,28-Feb-21,,Hledan Road,16.826097,96.127223,,,,,,,,,
MMR032,,Photo, https://pbs.twimg.com/media/EvVJnzMVgAIsl8U?format=jpg&name=900x900 ,,"photos of different people, not able to specifiy",not specified,8 different people hurt,FALSE,TRUE,28-Feb-21,,Cannot Be Verified,,,,,,,,,,,,,,,,,
MMR033,,Photo,https://twitter.com/kyawtka71294934/status/1365999088400007168,,Mandalay,Mandalay,women shot in the head dead on the street,FALSE,TRUE,28-Feb-21,,Verified,Deaths,Injuries,,28-Feb-21,5:30 pm,,21.96886988,96.09119559,https://twitter.com/Myanmar_Now_Eng/status/1365993393558409217,,,,,,,,
